occ_code,occ_title,tot_emp,a_mean
15-1011,"Computer and information scientists, research",26610,100900
15-1021,Computer programmers,394230,73470
15-1031,"Computer software engineers, applications",494160,87900
15-1032,"Computer software engineers, systems software",381830,94520
15-1041,Computer support specialists,545520,46370
15-1051,Computer systems analysts,489890,78830
15-1061,Database administrators,115770,72900
15-1071,Network and computer systems administrators,327850,69570
15-1081,Network systems and data communications analysts,230410,73830
15-1099,"Computer specialists, all other",191780,76000
